Device: cuda | Batch size: 32
Chargement des cellules : /usr/users/geoguessr_ia/badoul_fan/GeoGuesserIA/model/cnn/resnet/resnet_full_classif/cells_kmeans.pkl
Cellules chargées : 1000
Images indexées      : 3394684
Lignes CSV utilisées : 50000
Sampler prêt, 45,000 samples | cellules non vides : 1000/1000
CSV IDs (sample)  : ['574181207305439', '333574322129026', '636305258168031', '166741299029322', '818163849121312']
id_to_cell (sample): ['574181207305439', '333574322129026', '636305258168031', '166741299029322', '818163849121312']
Calcul de la matrice de distances entre centroïdes...
Matrice prête.

Entraînement, 30 epochs | 50000 samples | 1000 cellules

Epoch  1/30 | Train loss: 6.315  acc: 0.7% | Test loss: 6.144  acc: 0.8%  Haversine: 4715.9 km
Epoch  2/30 | Train loss: 5.896  acc: 1.4% | Test loss: 5.937  acc: 1.1%  Haversine: 4269.3 km
Epoch  3/30 | Train loss: 5.660  acc: 2.3% | Test loss: 5.922  acc: 1.3%  Haversine: 5052.9 km
Epoch  4/30 | Train loss: 5.512  acc: 3.0% | Test loss: 5.837  acc: 1.4%  Haversine: 4482.2 km
Epoch  5/30 | Train loss: 5.377  acc: 3.5% | Test loss: 5.820  acc: 1.4%  Haversine: 3943.9 km
Epoch  6/30 | Train loss: 5.287  acc: 3.9% | Test loss: 5.806  acc: 1.9%  Haversine: 3541.1 km
Epoch  7/30 | Train loss: 5.185  acc: 4.6% | Test loss: 5.854  acc: 2.3%  Haversine: 3723.0 km
Epoch  8/30 | Train loss: 5.133  acc: 5.0% | Test loss: 5.781  acc: 2.1%  Haversine: 3275.8 km
Epoch  9/30 | Train loss: 5.057  acc: 5.4% | Test loss: 5.766  acc: 1.6%  Haversine: 3444.4 km
Epoch 10/30 | Train loss: 4.992  acc: 5.7% | Test loss: 5.767  acc: 2.4%  Haversine: 3194.1 km
Epoch 11/30 | Train loss: 4.941  acc: 6.3% | Test loss: 5.795  acc: 2.1%  Haversine: 3217.9 km
Epoch 12/30 | Train loss: 4.879  acc: 6.7% | Test loss: 5.781  acc: 2.5%  Haversine: 2982.3 km
Epoch 13/30 | Train loss: 4.838  acc: 7.2% | Test loss: 5.755  acc: 2.3%  Haversine: 3166.2 km
Epoch 14/30 | Train loss: 4.796  acc: 7.6% | Test loss: 5.786  acc: 2.4%  Haversine: 2940.2 km
Epoch 15/30 | Train loss: 4.758  acc: 8.1% | Test loss: 5.810  acc: 2.3%  Haversine: 2885.7 km
Epoch 16/30 | Train loss: 4.719  acc: 8.5% | Test loss: 5.779  acc: 2.7%  Haversine: 2943.0 km
Epoch 17/30 | Train loss: 4.673  acc: 9.3% | Test loss: 5.769  acc: 2.6%  Haversine: 2777.2 km
Epoch 18/30 | Train loss: 4.642  acc: 9.9% | Test loss: 5.766  acc: 2.8%  Haversine: 2880.1 km
Epoch 19/30 | Train loss: 4.609  acc: 10.3% | Test loss: 5.735  acc: 2.7%  Haversine: 2860.3 km
Epoch 20/30 | Train loss: 4.580  acc: 10.7% | Test loss: 5.759  acc: 2.7%  Haversine: 2795.0 km
Epoch 21/30 | Train loss: 4.553  acc: 11.4% | Test loss: 5.757  acc: 3.3%  Haversine: 2766.5 km
Epoch 22/30 | Train loss: 4.527  acc: 12.1% | Test loss: 5.766  acc: 3.1%  Haversine: 2740.9 km
Epoch 23/30 | Train loss: 4.507  acc: 12.9% | Test loss: 5.781  acc: 3.2%  Haversine: 2698.7 km
Epoch 24/30 | Train loss: 4.488  acc: 13.2% | Test loss: 5.796  acc: 3.3%  Haversine: 2676.6 km
Epoch 25/30 | Train loss: 4.481  acc: 13.9% | Test loss: 5.771  acc: 3.6%  Haversine: 2596.9 km
Epoch 26/30 | Train loss: 4.469  acc: 14.2% | Test loss: 5.766  acc: 3.0%  Haversine: 2638.7 km
Epoch 27/30 | Train loss: 4.449  acc: 14.7% | Test loss: 5.762  acc: 2.9%  Haversine: 2565.3 km
Epoch 28/30 | Train loss: 4.448  acc: 15.1% | Test loss: 5.757  acc: 3.3%  Haversine: 2567.2 km
Epoch 29/30 | Train loss: 4.448  acc: 15.3% | Test loss: 5.787  acc: 3.3%  Haversine: 2561.8 km
Epoch 30/30 | Train loss: 4.447  acc: 15.0% | Test loss: 5.768  acc: 2.9%  Haversine: 2565.7 km

Meilleur test, 2561.8 km | acc cellule 3.3%
Modèle sauvegardé : resnet50_classification_full_dataset_WeightedRandomSampler.pt
